,uuid,timestamp_qual_start,timestamp_start,qual_obj_temp,qual_amb_temp,timestamp_qual_end,timestamp_end,start_date,end_date
0,54f145d2-e871-4bb9-8f9f-ee72e2ced9cd,2022-01-27 09:16:21.688684,2022-01-27 09:15:54.499085,19.0,19.0,2022-01-27 09:16:31.809625,2022-01-27 09:16:57.162335,2022-01-27,2022-01-27
1,a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded,2022-01-27 09:17:59.504191,2022-01-27 09:17:32.314592,20.1,20.1,2022-01-27 09:18:09.625132,2022-01-27 09:18:34.977842,2022-01-27,2022-01-27
2,3fad8ca6-c3f5-4646-8d13-4d12c23bce4b,2022-01-27 09:20:07.455048,2022-01-27 09:19:40.265449,20.2,20.2,2022-01-27 09:20:17.575989,2022-01-27 09:20:42.928699,2022-01-27,2022-01-27
3,c047f085-5295-487c-983b-822973db31d8,2022-01-27 09:21:44.876556,2022-01-27 09:21:17.686957,18.9,18.9,2022-01-27 09:21:54.997497,2022-01-27 09:22:20.350207,2022-01-27,2022-01-27
4,d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc,2022-01-27 09:23:22.772306,2022-01-27 09:22:55.582707,20.0,20.0,2022-01-27 09:23:32.893247,2022-01-27 09:23:58.245957,2022-01-27,2022-01-27
5,9353e595-3e50-4b7f-a837-3179e90bc280,2022-01-27 09:24:59.877861,2022-01-27 09:24:32.688262,18.3,18.3,2022-01-27 09:25:09.998802,2022-01-27 09:25:35.351512,2022-01-27,2022-01-27
6,2c00d197-8706-4f91-b693-d69ca3453282,2022-01-27 09:26:38.333524,2022-01-27 09:26:11.143925,24.3,24.3,2022-01-27 09:26:48.454465,2022-01-27 09:27:13.807175,2022-01-27,2022-01-27
7,127a427b-c41b-4d80-912c-a8071ec1d62e,2022-01-27 09:28:16.197141,2022-01-27 09:27:49.007542,19.0,19.0,2022-01-27 09:28:26.318082,2022-01-27 09:28:51.670792,2022-01-27,2022-01-27
8,5d92230e-1a76-45f9-a999-e21f7bc46cb4,2022-01-27 09:30:15.464156,2022-01-27 09:29:48.274557,25.0,25.0,2022-01-27 09:30:25.585097,2022-01-27 09:30:50.937807,2022-01-27,2022-01-27
9,a8a6bf06-2160-4aed-8bf4-51b2c3452a0b,2022-01-27 09:32:17.555289,2022-01-27 09:31:50.365690,20.4,20.4,2022-01-27 09:32:27.676230,2022-01-27 09:32:53.028940,2022-01-27,2022-01-27
10,1fd97a4f-52b5-44b1-99ca-bbd1265a38f6,2022-01-27 09:33:54.756874,2022-01-27 09:33:27.567275,20.7,20.7,2022-01-27 09:34:04.877815,2022-01-27 09:34:30.230525,2022-01-27,2022-01-27
11,0baf0a82-b664-49a6-b761-f6d92d635773,2022-01-27 09:35:32.902530,2022-01-27 09:35:05.712931,20.6,20.6,2022-01-27 09:35:43.023471,2022-01-27 09:36:08.376181,2022-01-27,2022-01-27
12,1757b9d1-20c2-43c3-8d29-1cbe1fdf413b,2022-01-27 09:37:10.424217,2022-01-27 09:36:43.234618,25.7,25.7,2022-01-27 09:37:20.545158,2022-01-27 09:37:45.897868,2022-01-27,2022-01-27
13,0eae743f-d431-4c83-b376-692607138147,2022-01-27 09:39:00.417633,2022-01-27 09:38:33.228034,25.4,25.4,2022-01-27 09:39:10.538574,2022-01-27 09:39:35.891284,2022-01-27,2022-01-27
14,ae09f33c-dd60-4295-901a-06d6515f9a09,2022-01-27 09:40:37.893244,2022-01-27 09:40:10.703645,25.5,25.5,2022-01-27 09:40:48.014185,2022-01-27 09:41:13.366895,2022-01-27,2022-01-27
15,18b87675-a09b-4ebb-b21b-87128e5d0fc0,2022-01-27 09:42:15.607051,2022-01-27 09:41:48.417452,25.5,25.5,2022-01-27 09:42:25.727992,2022-01-27 09:42:51.080702,2022-01-27,2022-01-27
